レースID,1コーナー,2コーナー,3コーナー,4コーナー
200201010101,"13(6,10)(4,12)(9,11)(3,8)(2,7)1,5","13(6,10)(4,12)9(3,11)7,8,2,1,5","(*13,6)10(4,12)(3,9)(7,11,2)-(8,1)=5","(*13,6)4,10-2,9,12,3(7,11)1=8,5"
200201010102,,,"11(5,12)-(2,10)-(6,8)(1,9)3-4,7","11(5,12)-(2,10)-1(8,9)3,6,4-7"
200201010103,"10(11,13)(2,7)(5,8)(1,12)3,9(4,6)","10(11,13)(2,7)(5,8)(1,12)3-9-(4,6)","(*10,11)(2,7,13)8(1,5)(9,3)12=6-4","(10,*11,7)-(2,1)(5,13,8)9=3(6,12)=4"
200201010104,,,"(1,*10)(3,13)(2,5)(7,8)-4(9,11)-6=12","(*1,10)13,3,5-2(7,8)(4,11)9-6=12"
200201010105,"(10,*4,9)11(1,6,13)(12,14)5,7,3,2,8","4,9(10,11)(6,13)(1,12,14)(5,7)3,2,8","(*4,9,13)(10,14,3)(1,6,11,12,7)(5,8)2","(*4,9)(13,3)1(10,14)11(12,7)-(8,6,2)5"
200201010106,"(6,*9)15(2,7,13)10(11,12)(4,8,14)3-(1,5)","(6,*9)(7,15)(12,13)(2,10)(11,8,14)(4,3)5,1","9(6,15)(12,13,3)(7,14)10(2,11)(8,5)4,1","(*9,3)(6,15)(12,14)(7,10,5)(2,13,11,1)(4,8)"
200201010107,,,"(2,*8)7,12,3(5,9,11)-10(4,6)-1","8,2(3,7)12(4,5)(10,9,11)6,1"
200201010108,"2,5(1,4,12)(8,11)10-7,3-(6,13)   9","2,5(1,12,8)(4,11)10-7,3,13,6   9","2(1,5,8)(4,12,11)10-(3,7,13)6   9","(*2,10)(1,5,11)(4,12)8(3,7,13)6   9"
200201010109,"13,14(9,12)(7,11)(5,10)3,2(4,1)-6   8","13,14(9,12)(11,10)7,5(3,2,1)4,6   8","13(14,12)9(10,5)(7,11,6)1,2(3,4)   8","13(14,12,10)(9,5)(7,6,1)(3,2,4)-11   8"
200201010110,,"11(5,8,12)(4,7,9)(1,2,6,10)-3","11,12(5,7,9)8(2,6,10)4,1-3","11,12(5,7,9)8,6(4,2,10)1-3"
200201010111,,,"1(2,4,12)6,3(13,11)(5,9)(10,7)8","1(2,4,12)(6,3)13(5,9,11)(7,8)10"
200201010112,"(*3,5)13(2,6)-(7,8)(4,10)(1,11,12)9","3(2,5)13,6,8(1,7,10,11,12)4-9","(*3,13)8(10,11)(5,7,12)(2,6)(1,4,9)","3,13,8,10,7-2(5,6,11,9)(1,4,12)"
200201010201,,,"9(6,7)3(2,10)5(8,12)(1,4)-11","(*9,6)(3,7)(2,10)-(8,5)12(1,4)-11"
200201010202,"(*3,4)7(12,10)13,2(1,5)6(8,9,11)","(3,*10)4,7(12,13)(2,5,6)(1,8)(9,11)","3(10,4,7,13)(12,6)-2(8,1)-5(9,11)","3(4,13)(10,12,7,6)2-1,9-8,11-5"
200201010203,,,"16(9,14)8,10(2,7)(1,12)(3,6,13)(5,11)4,15","(*16,9,14)8(10,7)2(6,13)(1,3,11)(5,12)4,15"
200201010204,,,"1(7,10)9(2,8)6-11,12-(4,3)5","1,10,7-9(8,6)-2-12,11-3-4-5"
200201010205,,,"(*13,15)(11,9)-2(10,14,16)-(6,12,5)(7,8)(1,4,3)","(13,*15,9)-11(2,10)(6,14,16)(12,5)-8-3-(7,1)4"
200201010206,"7,13(8,12)10(5,9)-4,11,6,2,3-1","7,13(8,12)(5,10)9-4,11,2,6,3-1","7,13,12(8,5,10)4,9(11,2)-3-1-6","7,13(5,10)(12,2)(4,11)-(8,3)-9-1-6"
200201010207,,,"7,12(2,3,10)6-(5,8,9)11(1,4)","7(12,10)(2,3)-5,9(8,6)(1,11)-4"
200201010208,,,"4(5,8,11)(3,6,16,14)(1,2,7,13)-(9,12)15-10","(4,*5,11)-(8,16)(2,14)(6,13)(1,7)(9,12,15)3,10"
200201010209,"9,1,7(2,6)(5,3,4)8","9,1,7(2,6)5(3,4)8","9,1(2,7)(5,6)(8,3,4)","9(1,7)(2,5)(3,4,6)8"
200201010210,"8,5(1,13,9)6,3,2,12(4,10)11-7","8-5(1,13)9,6-(2,3)12,10(4,11)7","(*8,5,13)(1,2,6)9,12-(4,10)(7,3,11)","(*5,13)-6(1,2,9)12-(4,10)7,11-8-3"
200201010211,"(*6,13)-11-(1,2,7)10,9,4(12,14)(5,8)-3","(*6,13)-11(1,2)(9,7)10(4,12)14,8(5,3)","6,13-(1,2)(11,9)7,10(12,4)14,8(5,3)","(*1,2)(6,9)(11,7)4(12,13,14,10)(5,3)8"
200201010212,"5(6,10)8(3,7)9,11(1,2)-4","(*5,10)-(6,8)3(7,9)11(1,2)-4","5,10(3,6)(7,8)(11,9)1,2,4","5,10,6(3,7,8)11,1,2,4-9"
200201010301,,,"(*9,11,12)8(1,3,4)5(2,10,6)13,7-14","(*9,11,12)-(8,3,4)5(1,10)(2,13,6)-7-14"
200201010302,,,"(*1,8)(2,5,6,10,11)7(3,9)(4,12)","(*1,8)(2,6,10)(5,3,11)9,7,4,12"
200201010303,"12(7,10)(3,11)-4(2,1,9,13)5-8=6","12(7,10)(3,11)(2,1,4)13,5,9,8=6","12(7,10)-(3,11)(1,4)-(2,9)5,8,13-6","(12,*7)3(1,10)-4,11,9(2,8)-5(13,6)"
200201010304,,,"(*5,7)(8,9)(10,12)(4,1,6)3,2-11","5,7(4,1,8,9)6-12(3,10,2)-11"
200201010305,,,"(8,*14)7(10,13)(1,5)3(2,11)-(4,6,12)9","8,14(7,13)5,11(3,10)(1,2)(4,6,12)-9"
200201010306,"5,6(1,12)(4,14)2-9,13(3,7,8)(10,11)","5-6(1,12)(4,14)2-(3,9,13)(11,10)(7,8)","5,6(1,12)(4,14)(2,11)(3,13,10)(7,8)9","5,6(1,12)(4,14)(2,11,10)(3,13,8)7-9"
200201010307,"5,13-12(10,8)11(3,6)9(4,7)-(2,1)","5,13=12(10,8)11(6,9,4)(3,7)-1,2","(5,13,8,*9,4)(10,12,7)(6,11,1)3,2","(8,*9,4)-(12,3)10(13,6)(2,1)11(5,7)"
200201010308,"7,11(6,12)8(2,4)-(1,5)3-(9,10)","7-11(6,12)8(2,4)-(1,5)9,3,10","(*7,11,12)4(6,8)-(5,9)2(1,3)-10","(*11,12)8(6,4)-9(5,3)7,1,2=10"
200201010309,,,"(*6,11)13(3,2,15)5(9,10)(7,12,14,16)(4,8)1","(*6,11)13(2,15)(3,5)-(7,9,10)16,14-12(4,8)1"
200201010310,"(*10,6)(8,9)(1,2,14)12,7(11,13)3(4,5)","10,6(8,9)14(1,2)12(7,11,13)3,5-4","10,6(8,9,14)(1,2,12)13(7,5,11)(3,4)","(*10,6)(9,14)(8,1,2,12)(7,5,11)13(3,4)"
200201010311,"12(2,5,4)10(1,7)(6,11)9-3=8","12,2(5,4)(1,7,10)(6,9,11)3-8","12,2,5(1,7,4)(6,10)9(8,3)11","2(12,5)-(7,3)4(1,9)10(6,8)=11"
200201010312,"3,4(6,8,12,13)-7(1,2)-10-11,5,9","3,4,8(6,12,13)(1,7,2)=(10,11)-(5,9)","(*3,4)(6,8)(1,7,12,13,2)-(5,10,9)11","3(6,8,2)4(1,7)12,13(5,10,9)11"
200201010401,,,"7(1,11)12,6-(8,9)2,3(4,10)5","7(1,11)12,6,8-2,9,3(4,10)5"
200201010402,"10,8(5,13)(2,4,7)(3,9)1,6-12-11","10,8(5,13)(4,2,7)3(1,6)-(12,9)=11","(*10,8)(7,6)-(5,13,3)2,4-(1,12)-9-11","(*10,8)-7(3,6)-13,5,4-2,12=(11,9)1"
200201010403,,,"1(13,14)4,8(9,10,11)16(3,12)15(2,7)6=5","(*1,13,14)4,12,8(2,9,10)3(6,7)11(15,16)-5"
200201010404,,,"(*8,7)-3,9(1,11)-10=6=(12,4)5-2","7(8,3)-1-9,11,10-6=12,4-2,5"
200201010405,,,"(2,*16)(3,13)(4,10)9(11,15)-8(6,12,5)7-14-1","16(2,13)9(3,4)11(10,15)-(8,6)-(14,5)-12(7,1)"
200201010406,,,"(2,*9,7,11)5-12,3-1,10=6-4,8","(2,*7)11(9,5)-3-12(1,10)=(4,6,8)"
200201010407,"2(10,4,13)(1,11)3-7,12,5(6,8)9","2,10-4(1,3,13)11(7,12,5)8,6,9","(*2,10)3-5,4(11,12)13(7,9)1,8,6","(2,*10,3)=5,12-11(4,7)-(8,9)6(1,13)"
200201010408,"1,11-13,16(4,6)8(2,12,15)3,10-14-(7,9)   5","1-11,13(4,16)(2,6,8)(3,12,15)10(14,7)9   5","1,11,8(4,13)(16,10)(2,6)(12,15)(3,7)(14,9)   5","1(11,8)(4,10)(2,16,6)(13,3)14(12,15,7,9)   5"
200201010409,,,"(*4,5)(3,10,14)16(9,12,13)1(6,8,15)(2,7,11)","4,5(3,14,16)(10,13)(9,12,8)(1,15)(6,7,11)2"
200201010410,"(*4,7)(5,8,13)2-(1,6)10(3,11)12,9","4(7,13)(5,8)2(1,6)10(3,11)12,9","4(7,8)13(5,3,1,2)11(12,10)(6,9)","(4,*8)1(5,7)(3,2,9)(12,11)(6,10)13"
200201010411,"11-8,9-14(7,15)(10,13)(6,16)3(2,4,5,12)-1","11-8-9,14(7,15)(10,13)6(3,16)(2,5)4,12-1","11-8-(9,14)7(10,15)(6,2,13,16,5)3(4,12)-1","(*11,8)(9,14)(7,15)(6,10,16,5)3(2,12)(4,1)13"
200201010412,,"10,2(1,9)(4,7)8(5,12)11,6,3","10,2(1,9)(5,4,7,8)12(6,11,3)","(*10,2)(9,8)1(4,7)(5,12,3)(6,11)"
200201010501,"(*2,6)9(3,5,8)(10,13)7,11-(4,12)1","(*2,6)9(3,5,8)(7,10,13)-11(4,12)1","(*2,6)(3,9,8)(5,13)(7,10)11(4,12)-1","(*2,6)3-9-5(7,10)(13,8)(4,11,12)-1"
200201010502,,,"7,10(3,12)-(5,11)-4-6(1,8)(9,2)","7,10,12,3(5,11,4)-(1,8)(9,6)2"
