順位,名前(ターゲット内表記),フルネーム(JRA-VANデータ内表記),読み(半角仮名/欧字),欧字表記名,所属,年齢,誕生日,免許取得年,キャリア,本年着度数,1着数,2着数,3着数,着外数,総数,勝率,連対率,複勝率,前年着度数,前年1着,前年2着,前年3着,前年着外,前年総数,前年勝率,前年連対率,前年複勝率,生涯着度数,生涯1着,生涯2着,生涯3着,生涯着外,生涯総数,生涯勝率,生涯連対率,生涯複勝率,コード,現役・抹消,チェック,勝数前年比,総レース数前年比,コメント,本年順位(平地),前年順位(平地)
1,吉田豊　,"吉田 豊","ﾖｼﾀﾞ ﾕﾀｶ","Yutaka Yoshida",美浦,50,1975. 4.19,1994,33,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 18- 21- 32-356(427)",18,21,32,356,427,4.2,9.1,16.6,1343-1394-1406-14460(18603),1343,1394,1406,14460,18603,7.2,14.7,22.3,00733,現役,0,0.0,0.0,,,59
2,吉田隼人,"吉田 隼人","ﾖｼﾀﾞ ﾊﾔﾄ","Hayato Yoshida",美浦,42,1983.12.20,2004,23,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 12- 22- 27-247(308)",12,22,27,247,308,3.9,11.0,19.8,1201-1148-1067-10760(14176),1201,1148,1067,10760,14176,8.5,16.6,24.1,01095,現役,0,0.0,0.0,,,72
3,横山琉人,"横山 琉人","ﾖｺﾔﾏ ﾘｭｳﾄ","Ryuto Yokoyama",美浦,23,2003. 1. 8,2021,6,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 27- 25- 31-424(507)",27,25,31,424,507,5.3,10.3,16.4,"108- 91-109-1781(2089)",108,91,109,1781,2089,5.2,9.5,14.7,01192,現役,0,0.0,0.0,,,41
4,横山典弘,"横山 典弘","ﾖｺﾔﾏ ﾉﾘﾋﾛ","Norihiro Yokoyama",美浦,58,1968. 2.23,1986,41,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 41- 30- 18-224(313)",41,30,18,224,313,13.1,22.7,28.4,2996-2557-2257-13987(21797),2996,2557,2257,13987,21797,13.7,25.5,35.8,00660,現役,0,0.0,0.0,,,24
5,横山武史,"横山 武史","ﾖｺﾔﾏ ﾀｹｼ","Takeshi Yokoyama",美浦,27,1998.12.22,2017,10,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"110- 94- 81-489(774)",110,94,81,489,774,14.2,26.4,36.8,765-642-615-4353(6375),765,642,615,4353,6375,12.0,22.1,31.7,01170,現役,0,0.0,0.0,,,4
6,横山和生,"横山 和生","ﾖｺﾔﾏ ｶｽﾞｵ","Kazuo Yokoyama",美浦,32,1993. 3.23,2011,16,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 77- 63- 52-391(583)",77,63,52,391,583,13.2,24.0,32.9,494-436-449-5183(6562),494,436,449,5183,6562,7.5,14.2,21.0,01140,現役,0,0.0,0.0,,,10
7,武藤雅　,"武藤 雅","ﾑﾄｳ ﾐﾔﾋﾞ","Miyabi Muto",美浦,28,1998. 1.10,2017,10,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 16- 14- 15-299(344)",16,14,15,299,344,4.7,8.7,13.1,205-233-240-3550(4228),205,233,240,3550,4228,4.8,10.4,16.0,01169,現役,0,0.0,0.0,,,64
8,蓑島靖典,"蓑島 靖典","ﾐﾉｼﾏ ﾔｽﾉﾘ","Yasunori Minoshima",美浦,43,1982.11.14,2001,26,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 76- 90- 89-1449(1704)",76,90,89,1449,1704,4.5,9.7,15.0,01068,現役,0,,,,,
9,水沼元輝,"水沼 元輝","ﾐｽﾞﾇﾏ ｹﾞﾝｷ","Genki Mizunuma",美浦,23,2002. 9. 2,2022,5,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  1-  6-150(158)",1,1,6,150,158,0.6,1.3,5.1," 16- 10- 23-682(731)",16,10,23,682,731,2.2,3.6,6.7,01201,現役,0,0.0,0.0,,,124
10,三浦皇成,"三浦 皇成","ﾐｳﾗ ｺｳｾｲ","Kosei Miura",美浦,36,1989.12.19,2008,19,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 53- 72- 54-386(565)",53,72,54,386,565,9.4,22.1,31.7,1132-1258-1118-9132(12640),1132,1258,1118,9132,12640,9.0,18.9,27.8,01122,現役,0,0.0,0.0,,,19
11,丸山元気,"丸山 元気","ﾏﾙﾔﾏ ｹﾞﾝｷ","Genki Maruyama",美浦,35,1990.10. 3,2009,18,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 33- 53- 47-373(506)",33,53,47,373,506,6.5,17.0,26.3,686-730-784-7883(10083),686,730,784,7883,10083,6.8,14.0,21.8,01127,現役,0,0.0,0.0,,,34
12,丸田恭介,"丸田 恭介","ﾏﾙﾀ ｷｮｳｽｹ","Kyosuke Maruta",美浦,39,1986. 5.20,2007,20,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 12- 16- 20-344(392)",12,16,20,344,392,3.1,7.1,12.2,472-555-584-7836(9447),472,555,584,7836,9447,5.0,10.9,17.1,01117,現役,0,0.0,0.0,,,73
13,黛弘人　,"黛 弘人","ﾏﾕｽﾞﾐ ﾋﾛﾄ","Hiroto Mayuzumi",美浦,40,1985.11.12,2006,21,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  5- 16- 22-289(332)",5,16,22,289,332,1.5,6.3,13.0,206-288-314-5901(6709),206,288,314,5901,6709,3.1,7.4,12.0,01109,現役,0,0.0,0.0,,,94
14,的場勇人,"的場 勇人","ﾏﾄﾊﾞ ﾊﾔﾄ","Hayato Matoba",美浦,38,1987.11.28,2006,21,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  0- 57( 58)",1,0,0,57,58,1.7,1.7,1.7,178-171-180-3695(4224),178,171,180,3695,4224,4.2,8.3,12.5,01108,現役,0,0.0,0.0,,,132
15,松岡正海,"松岡 正海","ﾏﾂｵｶ ﾏｻﾐ","Masami Matsuoka",美浦,41,1984. 7.18,2003,24,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 10- 23- 36-367(436)",10,23,36,367,436,2.3,7.6,15.8,905-934-1019-10397(13255),905,934,1019,10397,13255,6.8,13.9,21.6,01085,現役,0,0.0,0.0,,,78
