馬番,馬名,優勝確率%,3着内確率%,平均着順,ideaSI,source
7,ヨシノイースター,25.2,55.7,4.0,120.0,EM
13,ナムラクレア,22.9,53.4,4.2,119.7,EM
10,ママコチャ,13.5,38.1,5.4,118.0,EM
12,ピューロマジック,8.1,26.5,6.6,116.3,EM
17,ペアポルックス,6.0,21.9,7.2,115.6,EM
2,ビッグシーザー,5.2,20.5,7.4,115.4,EM
18,ジューンブレア,4.9,19.5,7.5,115.1,EM
9,サトノレーヴ,3.2,13.8,8.5,114.0,EM
14,レイピア,1.7,8.3,9.7,112.4,EM
8,ウインカーネリアン,1.6,8.3,9.8,112.4,EM
5,ヤマニンアルリフラ,1.5,8.3,9.6,112.6,EM
16,フィオライア,1.3,7.4,9.9,112.4,EM
15,インビンシブルパパ,1.2,3.5,14.1,104.7,FALLBACK
1,パンジャタワー,1.0,3.3,14.2,104.7,FALLBACK
11,ララマセラシオン,1.0,3.6,14.2,104.7,FALLBACK
6,レッドモンレーヴ,0.9,3.4,14.2,104.7,FALLBACK
4,ダノンマッキンリー,0.5,3.2,11.6,110.2,EM
3,エーティーマクフィ,0.2,1.4,12.9,108.3,EM
